Flat profile:

Each sample counts as 0.01 seconds.
  %   cumulative   self              self     total           
 time   seconds   seconds    calls   s/call   s/call  name    
 12.05      0.76     0.76   651995     0.00     0.00  LZ77Buffer::get(unsigned short, unsigned short)
  8.88      1.32     0.56 168214528     0.00     0.00  GZipCRC32::update(unsigned char)
  7.93      1.82     0.50   651995     0.00     0.00  LZ77Buffer::put(std::vector<unsigned char, std::allocator<unsigned char> >&)
  7.77      2.31     0.49 336429053     0.00     0.00  std::array<unsigned char, 32768ul>::operator[](unsigned long)
  7.69      2.80     0.49 504643614     0.00     0.00  std::vector<unsigned char, std::allocator<unsigned char> >::operator[](unsigned long)
  6.34      3.20     0.40 337082421     0.00     0.00  std::vector<unsigned char, std::allocator<unsigned char> >::size() const
  5.71      3.56     0.36 337081048     0.00     0.00  fast_mod(unsigned short, unsigned long)
  5.39      3.90     0.34 189703023     0.00     0.00  std::vector<unsigned short, std::allocator<unsigned short> >::operator[](unsigned long)
  5.39      4.24     0.34       20     0.02     0.08  GZipCRC32::update(std::vector<unsigned char, std::allocator<unsigned char> > const&)
  3.96      4.49     0.25 189692959     0.00     0.00  std::vector<unsigned short, std::allocator<unsigned short> >::size() const
  3.65      4.72     0.23 168214528     0.00     0.00  std::array<unsigned int, 256ul>::operator[](unsigned long) const
  3.49      4.94     0.22 336429053     0.00     0.00  std::__array_traits<unsigned char, 32768ul>::_S_ref(unsigned char const (&) [32768], unsigned long)
  3.17      5.14     0.20 337081048     0.00     0.00  std::array<unsigned char, 32768ul>::size() const
  3.17      5.34     0.20  2608445     0.00     0.00  indexOf(std::vector<unsigned short, std::allocator<unsigned short> >&, unsigned short)
  2.85      5.52     0.18        1     0.18     6.20  GZipFile::inflate()
  2.22      5.66     0.14 168214888     0.00     0.00  std::vector<unsigned char, std::allocator<unsigned char> >::operator[](unsigned long) const
  1.74      5.77     0.11 168214528     0.00     0.00  std::__array_traits<unsigned int, 256ul>::_S_ref(unsigned int const (&) [256], unsigned long)
  1.43      5.86     0.09   652077     0.00     0.00  std::vector<unsigned char, std::allocator<unsigned char> >::~vector()
